data;Índ. Dólar;dólar EUA spot;dólar-ouro;dólar-prata;méx.;euro-dólar EUA;libra-dól;Japão;reais BR;CRB Tot;CRB Ali;CRB Ind;CRB Met;CRB Ól.;CRB Text;CRB Gado;Soja Spot;Milho Spot;Açúcar Spot;Café A Spot;Café A Indx;Petróleo B;Petróleo W;Ouro;Prata
12/06/1998;101,76;1;286;5,145;8,98;1,0852;1,6338;144,2;1,1545;;;;;;;;;;;;;;;;
15/06/1998;102,25;1;284,85;5,105;9,025;1,0798;1,6359;146,15;1,1547;;;;;;;;;;;;;;;;
16/06/1998;101,41;1;288,65;5,195;9,025;1,089;1,651;143,18;1,1545;;;;;;;;;;;;;;;;
17/06/1998;100,07;1;293,45;5,375;8,875;1,0935;1,6688;136,75;1,1549;;;;;;;;;;;;;;;;
18/06/1998;100,53;1;293,25;5,285;8,92;1,0939;1,6727;137,85;1,1556;;;;;;;;;;;;;;;;
19/06/1998;100,12;1;298,75;5,385;8,884;1,0981;1,6749;137,02;1,1558;;;;;;;;;;;;;;;;
22/06/1998;100,51;1;295,75;5,355;8,898;1,0912;1,6746;137,96;1,155;;;;;;;;;;;;;;;;
23/06/1998;100,87;1;295,05;5,365;8,917;1,087;1,6665;139,26;1,1551;;;;;;;;;;;;;;;;
24/06/1998;101,12;1;292,85;5,275;8,925;1,087;1,6685;141,05;1,1555;;;;;;;;;;;;;;;;
25/06/1998;101,12;1;293,9;5,38;8,955;1,0904;1,6725;142,25;1,1557;;;;;;;;;;;;;;;;
26/06/1998;101,55;1;293,85;5,325;8,925;1,0819;1,6621;142,21;1,156;;;;;;;;;;;;;;;;
29/06/1998;101,64;1;293,65;5,335;9,015;1,0799;1,6658;142;1,1562;;;;;;;;;;;;;;;;
30/06/1998;101,17;1;296,95;5,535;8,958;1,0851;1,6679;138,78;1,1565;;;;;;;;;;;;;;;;
01/07/1998;101,46;1;296,45;5,475;8,935;1,0769;1,66;137,91;1,1568;;;;;;;;;;;;;;;;
02/07/1998;101,98;1;293,85;5,345;8,9725;1,0748;1,6588;140,71;1,1568;;;;;;;;;;;;;;;;
03/07/1998;101,57;1;294,75;5,35;8,936;1,0768;1,6462;139,4;1,1571;;;;;;;;;;;;;;;;
06/07/1998;101,75;1;293,25;5,335;8,915;1,0827;1,6383;140,14;1,1579;;;;;;;;;;;;;;;;
07/07/1998;101,67;1;294,95;5,415;8,927;1,0805;1,6378;138,67;1,1584;;;;;;;;;;;;;;;;
08/07/1998;101,82;1;293,25;5,355;8,92;1,0769;1,6378;139,4;1,1592;;;;;;;;;;;;;;;;
09/07/1998;102,46;1;292,1;5,335;8,9895;1,0706;1,6318;141,1;1,1615;;;;;;;;;;;;;;;;
10/07/1998;102,09;1;290,85;5,305;8,965;1,0767;1,6335;141,4;1,1608;;;;;;;;;;;;;;;;
13/07/1998;101,51;1;291,65;5,335;8,965;1,0855;1,6408;141,14;1,1614;;;;;;;;;;;;;;;;
14/07/1998;101,48;1;293,15;5,325;8,845;1,0883;1,6347;140;1,1631;;;;;;;;;;;;;;;;
15/07/1998;101,37;1;293,75;5,355;8,8525;1,0854;1,6353;140,68;1,1611;;;;;;;;;;;;;;;;
16/07/1998;100,82;1;293,25;5,345;8,826;1,0925;1,6405;140,22;1,1617;;;;;;;;;;;;;;;;
17/07/1998;100,58;1;294,5;5,365;8,8095;1,0951;1,643;139,63;1,1614;;;;;;;;;;;;;;;;
20/07/1998;100,47;1;296,05;5,475;8,785;1,1007;1,6477;139,03;1,1603;;;;;;;;;;;;;;;;
21/07/1998;100,94;1;294,95;5,53;8,85;1,0951;1,6443;140,33;1,1606;;;;;;;;;;;;;;;;
22/07/1998;101,1;1;294,15;5,675;8,875;1,0931;1,644;141,11;1,1605;;;;;;;;;;;;;;;;
23/07/1998;100,97;1;293,15;5,805;8,91;1,0919;1,6513;141,31;1,1642;;;;;;;;;;;;;;;;
24/07/1998;100,7;1;291,45;5,715;8,835;1,1005;1,659;141,7;1,1651;;;;;;;;;;;;;;;;
27/07/1998;101,02;1;290,35;5,655;8,87;1,0983;1,6565;142,48;1,1657;;;;;;;;;;;;;;;;
28/07/1998;100,36;1;291,75;5,675;8,91;1,1027;1,6466;141,14;1,1659;;;;;;;;;;;;;;;;
29/07/1998;100,56;1;290,05;5,595;8,91;1,1038;1,6426;142,4;1,1628;;;;;;;;;;;;;;;;
30/07/1998;101,11;1;289,5;5,525;8,9225;1,1029;1,6364;143,83;1,162;;;;;;;;;;;;;;;;
31/07/1998;101,14;1;286,45;5,445;8,935;1,1004;1,6326;144,66;1,163;;;;;;;;;;;;;;;;
03/08/1998;101,65;1;282,95;5,365;8,945;1,097;1,6277;145,53;1,1639;;;;;;;;;;;;;;;;
04/08/1998;101,13;1;288,35;5,455;9;1,0977;1,6378;144,87;1,1655;;;;;;;;;;;;;;;;
05/08/1998;100,84;1;287,95;5,415;9,015;1,1047;1,6363;144,01;1,1671;;;;;;;;;;;;;;;;
06/08/1998;101,1;1;287,35;5,44;8,97;1,1068;1,6337;144,38;1,1678;;;;;;;;;;;;;;;;
07/08/1998;101,49;1;286,65;5,285;9,064;1,1044;1,6308;146,22;1,1679;;;;;;;;;;;;;;;;
